product_id,program_id,color_code,color_name,collection,cloth_code,source_page,source_price_group,ancillary_price_group,unit,status,exception
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0183,Milk,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0184,Warm White,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0184,Warm White,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0185,Pebble,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0185,Pebble,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0186,Rich Gold,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0186,Rich Gold,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0189,Loden Green,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0189,Loden Green,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0191,Claret,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0191,Claret,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0190,Deep Ocean,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0190,Deep Ocean,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0188,Chocolate Brown,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0188,Chocolate Brown,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0187,Steel Gray,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0187,Steel Gray,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0192,Jet Black,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0192,Jet Black,Lakeside,AA0210,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0668,Black Walnut,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0668,Black Walnut,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1668,Sand,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1668,Sand,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1669,Flax,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1669,Flax,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1926,Latte,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1926,Latte,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1927,Stone Gray,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1927,Stone Gray,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2023,Desert Beige,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2023,Desert Beige,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2024,Warm Mocha,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2024,Warm Mocha,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2025,Soft Sandstone,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2025,Soft Sandstone,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2026,Gentle Ash,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2026,Gentle Ash,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2027,Gray,Bali,A90105,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2027,Gray,Bali,A90105,26,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1897,Linen Natural,Breeze,AB0699,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1897,Linen Natural,Breeze,AB0699,26,3,B,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1898,Linen Khaki,Breeze,AB0699,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1898,Linen Khaki,Breeze,AB0699,26,3,B,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1899,Linen Graphite,Breeze,AB0699,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1899,Linen Graphite,Breeze,AB0699,26,3,B,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1900,Linen Almond Milk,Breeze,AB0699,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1900,Linen Almond Milk,Breeze,AB0699,26,3,B,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1901,Linen Stone,Breeze,AB0699,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1901,Linen Stone,Breeze,AB0699,26,3,B,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1902,Linen Warm Ivory,Breeze,AB0699,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1902,Linen Warm Ivory,Breeze,AB0699,26,3,B,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1903,Linen Cloud,Breeze,AB0699,26,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1903,Linen Cloud,Breeze,AB0699,26,3,B,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1932,Oatmeal,Francis,AA0369,26,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1932,Oatmeal,Francis,AA0369,26,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1933,Black,Francis,AA0369,26,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1933,Black,Francis,AA0369,26,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1904,White,Francis,AA0369,26,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1904,White,Francis,AA0369,26,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1905,Weathered White,Francis,AA0369,26,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1905,Weathered White,Francis,AA0369,26,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1906,Broken White,Francis,AA0369,26,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1906,Broken White,Francis,AA0369,26,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1907,Soft Sandstone,Francis,AA0369,26,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1907,Soft Sandstone,Francis,AA0369,26,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1908,Desert Beige,Francis,AA0369,26,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1908,Desert Beige,Francis,AA0369,26,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1909,Rich Truffle,Francis,AA0369,26,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1909,Rich Truffle,Francis,AA0369,26,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1984,Soft Gray,Francis,AA0369,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1984,Soft Gray,Francis,AA0369,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1985,Cloudy Gray,Francis,AA0369,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1985,Cloudy Gray,Francis,AA0369,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1986,Natural Beige,Francis,AA0369,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1986,Natural Beige,Francis,AA0369,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1987,Warm Mocha,Francis,AA0369,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1987,Warm Mocha,Francis,AA0369,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1988,Graphite,Francis,AA0369,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1988,Graphite,Francis,AA0369,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1989,Stone Gray,Francis,AA0369,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1989,Stone Gray,Francis,AA0369,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1990,Soothing Gray,Francis,AA0369,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1990,Soothing Gray,Francis,AA0369,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1991,Gentle Ash,Francis,AA0369,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1991,Gentle Ash,Francis,AA0369,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2071,Extra White,Ashley,AA0387,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2071,Extra White,Ashley,AA0387,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2072,Warm White,Ashley,AA0387,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2072,Warm White,Ashley,AA0387,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2073,Dovetail,Ashley,AA0387,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2073,Dovetail,Ashley,AA0387,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2074,Sand Canyon,Ashley,AA0387,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2074,Sand Canyon,Ashley,AA0387,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F2075,Driftwood,Ashley,AA0387,27,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F2075,Driftwood,Ashley,AA0387,27,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
