page,location,exact_current_phrase,proposed_replacement,status
https://www.805shutters.com/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[4].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/shades/,HTML span,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Proposal only; unchanged
https://www.805shutters.com/shades/,JSON-LD $[0].@graph[0].contactPoint.areaServed[14].name,Santa Clarita,Remove this unapproved area; retain Ventura County + the 14 approved areas (do not add a duplicate option).,Approved structured coverage correction applied in round 2
https://www.805shutters.com/shades/,JSON-LD $[0].@graph[0].areaServed[14].name,Santa Clarita,Remove this unapproved area; retain Ventura County + the 14 approved areas (do not add a duplicate option).,Approved structured coverage correction applied in round 2
https://www.805shutters.com/shades/,JSON-LD $[0].@graph[0].serviceArea.name,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/shades/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[0].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/shades/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[1].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/shades/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[2].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/shades/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[3].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/shades/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[4].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/shades/,JSON-LD $[1].@graph[1].areaServed[14].name,Santa Clarita,Remove this unapproved area; retain Ventura County + the 14 approved areas (do not add a duplicate option).,Approved structured coverage correction applied in round 2
https://www.805shutters.com/free-window-treatment-consultation/,HTML li,Santa Clarita,Remove this unapproved area; retain Ventura County + the 14 approved areas (do not add a duplicate option).,Proposal only; unchanged
https://www.805shutters.com/free-window-treatment-consultation/,HTML p,"805 Shutters serves Ventura County, North Los Angeles County, and Santa Clarita, including Camarillo, Thousand Oaks, Ventura, Oxnard, Simi Valley, Moorpark, Newbury Park, Westlake Village, and nearby communities.","805 Shutters serves Ventura County, including Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park.",Proposal only; unchanged
https://www.805shutters.com/free-window-treatment-consultation/,HTML span,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Proposal only; unchanged
https://www.805shutters.com/free-window-treatment-consultation/,JSON-LD $[1].@graph[3].mainEntity[3].acceptedAnswer.text,"805 Shutters serves Ventura County, North Los Angeles County, and Santa Clarita, including Camarillo, Thousand Oaks, Ventura, Oxnard, Simi Valley, Moorpark, Newbury Park, Westlake Village, and nearby communities.","805 Shutters serves Ventura County, including Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park.",Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML title,Shutters in Santa Clarita CA | Santa Clarita Shutter Installation and Repair | 805 Shutters,Shutters in Ventura County | Ventura County Shutter Installation and Repair | 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML p,Santa Clarita service area,Ventura County service area,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML h1,Custom Shutters in Santa Clarita,Custom Shutters in Ventura County,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML p,"805 Shutters helps Santa Clarita homeowners and businesses compare custom shutters options for privacy, light control, room style, and budget.","805 Shutters helps Ventura County homeowners and businesses compare custom shutters options for privacy, light control, room style, and budget.",Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML h2,Custom shutters for Santa Clarita spaces,Custom shutters for Ventura County spaces,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML p,"For Santa Clarita projects, 805 Shutters reviews how each room is used before recommending shutters. Bedrooms may need more privacy or room darkening, living areas may need glare control without losing natural light, and sliding doors or large windows may need products that stay easy to operate every day.","For Ventura County projects, 805 Shutters reviews how each room is used before recommending shutters. Bedrooms may need more privacy or room darkening, living areas may need glare control without losing natural light, and sliding doors or large windows may need products that stay easy to operate every day.",Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML p,"805 Shutters helps Santa Clarita customers with shutter installation, replacement planning, and review of existing shutter issues. If an older shutter system needs attention, the consultation can help determine whether adjustment, replacement panels, new frames, or a new custom installation is the better long-term path.","805 Shutters helps Ventura County customers with shutter installation, replacement planning, and review of existing shutter issues. If an older shutter system needs attention, the consultation can help determine whether adjustment, replacement panels, new frames, or a new custom installation is the better long-term path.",Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML p,"For Santa Clarita homes, shutter recommendations can include interior shutters, wood shutters, composite shutters, specialty shapes, sliding door shutters, and whole-home shutter plans. The final choice is based on the design of the house, window shape, durability needs, cleaning expectations, and the quality of the finished look.","For Ventura County homes, shutter recommendations can include interior shutters, wood shutters, composite shutters, specialty shapes, sliding door shutters, and whole-home shutter plans. The final choice is based on the design of the house, window shape, durability needs, cleaning expectations, and the quality of the finished look.",Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML h2,North Los Angeles County and Santa Clarita installation support,Ventura County installation support,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML p,"805 Shutters serves Santa Clarita and nearby North Los Angeles County and Santa Clarita communities with measuring, product guidance, ordering, and professional installation. The goal is to help you understand cost, timing, materials, controls, and long-term maintenance before the project moves forward.","805 Shutters serves Ventura County and the approved service areas with measuring, product guidance, ordering, and professional installation. The goal is to help you understand cost, timing, materials, controls, and long-term maintenance before the project moves forward.",Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,HTML span,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,JSON-LD $[1].@graph[0].name,Shutters in Santa Clarita CA | Santa Clarita Shutter Installation and Repair | 805 Shutters,Shutters in Ventura County | Ventura County Shutter Installation and Repair | 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,JSON-LD $[1].@graph[0].description,"Custom Shutters in Santa Clarita measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.","Custom Shutters in Ventura County measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.",Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,JSON-LD $[1].@graph[0].primaryImageOfPage.caption,Custom Shutters in Santa Clarita by 805 Shutters,Custom Shutters in Ventura County by 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,JSON-LD $[1].@graph[1].name,Custom Shutters in Santa Clarita,Custom Shutters in Ventura County,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,JSON-LD $[1].@graph[1].description,"Custom Shutters in Santa Clarita measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.","Custom Shutters in Ventura County measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.",Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,JSON-LD $[1].@graph[1].image.caption,Custom Shutters in Santa Clarita by 805 Shutters,Custom Shutters in Ventura County by 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,JSON-LD $[1].@graph[1].serviceType,Santa Clarita service area,Ventura County service area,Proposal only; unchanged
https://www.805shutters.com/shutters/santa-clarita/,JSON-LD $[1].@graph[2].itemListElement[1].name,Custom Shutters in Santa Clarita,Custom Shutters in Ventura County,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML title,Shades near Santa Clarita CA - 805 Shutters,Shades near Ventura County - 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML p,Santa Clarita service area,Ventura County service area,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML h1,Custom Window Shades in Santa Clarita,Custom Window Shades in Ventura County,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML p,"805 Shutters helps Santa Clarita homeowners and businesses compare custom shades options for privacy, light control, room style, and budget.","805 Shutters helps Ventura County homeowners and businesses compare custom shades options for privacy, light control, room style, and budget.",Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML h2,Custom shades for Santa Clarita spaces,Custom shades for Ventura County spaces,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML p,"For Santa Clarita projects, 805 Shutters reviews how each room is used before recommending shades. Bedrooms may need more privacy or room darkening, living areas may need glare control without losing natural light, and sliding doors or large windows may need products that stay easy to operate every day.","For Ventura County projects, 805 Shutters reviews how each room is used before recommending shades. Bedrooms may need more privacy or room darkening, living areas may need glare control without losing natural light, and sliding doors or large windows may need products that stay easy to operate every day.",Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML p,"805 Shutters helps Santa Clarita customers compare quality materials, colors, controls, privacy levels, light control, maintenance needs, and installation details before choosing custom shades.","805 Shutters helps Ventura County customers compare quality materials, colors, controls, privacy levels, light control, maintenance needs, and installation details before choosing custom shades.",Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML h2,North Los Angeles County and Santa Clarita installation support,Ventura County installation support,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML p,"805 Shutters serves Santa Clarita and nearby North Los Angeles County and Santa Clarita communities with measuring, product guidance, ordering, and professional installation. The goal is to help you understand cost, timing, materials, controls, and long-term maintenance before the project moves forward.","805 Shutters serves Ventura County and the approved service areas with measuring, product guidance, ordering, and professional installation. The goal is to help you understand cost, timing, materials, controls, and long-term maintenance before the project moves forward.",Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,HTML span,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,JSON-LD $[1].@graph[0].name,Shades near Santa Clarita CA - 805 Shutters,Shades near Ventura County - 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,JSON-LD $[1].@graph[0].description,"Custom Window Shades in Santa Clarita measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.","Custom Window Shades in Ventura County measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.",Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,JSON-LD $[1].@graph[0].primaryImageOfPage.caption,Custom Window Shades in Santa Clarita by 805 Shutters,Custom Window Shades in Ventura County by 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,JSON-LD $[1].@graph[1].name,Custom Window Shades in Santa Clarita,Custom Window Shades in Ventura County,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,JSON-LD $[1].@graph[1].description,"Custom Window Shades in Santa Clarita measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.","Custom Window Shades in Ventura County measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.",Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,JSON-LD $[1].@graph[1].image.caption,Custom Window Shades in Santa Clarita by 805 Shutters,Custom Window Shades in Ventura County by 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,JSON-LD $[1].@graph[1].serviceType,Santa Clarita service area,Ventura County service area,Proposal only; unchanged
https://www.805shutters.com/shades/santa-clarita-ca/,JSON-LD $[1].@graph[2].itemListElement[1].name,Custom Window Shades in Santa Clarita,Custom Window Shades in Ventura County,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML title,Blinds near Santa Clarita CA - 805 Shutters,Blinds near Ventura County - 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML p,Santa Clarita service area,Ventura County service area,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML h1,Custom Blinds in Santa Clarita,Custom Blinds in Ventura County,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML p,"805 Shutters helps Santa Clarita homeowners and businesses compare custom blinds options for privacy, light control, room style, and budget.","805 Shutters helps Ventura County homeowners and businesses compare custom blinds options for privacy, light control, room style, and budget.",Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML h2,Custom blinds for Santa Clarita spaces,Custom blinds for Ventura County spaces,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML p,"For Santa Clarita projects, 805 Shutters reviews how each room is used before recommending blinds. Bedrooms may need more privacy or room darkening, living areas may need glare control without losing natural light, and sliding doors or large windows may need products that stay easy to operate every day.","For Ventura County projects, 805 Shutters reviews how each room is used before recommending blinds. Bedrooms may need more privacy or room darkening, living areas may need glare control without losing natural light, and sliding doors or large windows may need products that stay easy to operate every day.",Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML p,"Custom blinds in Santa Clarita help control the amount of light entering a room without forcing the window to be fully open or fully covered. Slats can be tilted, opened, or closed so a home or business can keep privacy, reduce glare, protect furniture, and still make use of natural daylight.","Custom blinds in Ventura County help control the amount of light entering a room without forcing the window to be fully open or fully covered. Slats can be tilted, opened, or closed so a home or business can keep privacy, reduce glare, protect furniture, and still make use of natural daylight.",Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML p,"For Santa Clarita properties, blinds remain a practical option when customers want top quality light control, a cleaner window appearance, and a flexible price point. We compare the benefits of each blind style before ordering so the finished installation works with trim, doors, furniture, and everyday use.","For Ventura County properties, blinds remain a practical option when customers want top quality light control, a cleaner window appearance, and a flexible price point. We compare the benefits of each blind style before ordering so the finished installation works with trim, doors, furniture, and everyday use.",Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML h2,North Los Angeles County and Santa Clarita installation support,Ventura County installation support,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML p,"805 Shutters serves Santa Clarita and nearby North Los Angeles County and Santa Clarita communities with measuring, product guidance, ordering, and professional installation. The goal is to help you understand cost, timing, materials, controls, and long-term maintenance before the project moves forward.","805 Shutters serves Ventura County and the approved service areas with measuring, product guidance, ordering, and professional installation. The goal is to help you understand cost, timing, materials, controls, and long-term maintenance before the project moves forward.",Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,HTML span,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,JSON-LD $[1].@graph[0].name,Blinds near Santa Clarita CA - 805 Shutters,Blinds near Ventura County - 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,JSON-LD $[1].@graph[0].description,"Custom Blinds in Santa Clarita measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.","Custom Blinds in Ventura County measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.",Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,JSON-LD $[1].@graph[0].primaryImageOfPage.caption,Custom Blinds in Santa Clarita by 805 Shutters,Custom Blinds in Ventura County by 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,JSON-LD $[1].@graph[1].name,Custom Blinds in Santa Clarita,Custom Blinds in Ventura County,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,JSON-LD $[1].@graph[1].description,"Custom Blinds in Santa Clarita measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.","Custom Blinds in Ventura County measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.",Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,JSON-LD $[1].@graph[1].image.caption,Custom Blinds in Santa Clarita by 805 Shutters,Custom Blinds in Ventura County by 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,JSON-LD $[1].@graph[1].serviceType,Santa Clarita service area,Ventura County service area,Proposal only; unchanged
https://www.805shutters.com/blinds/santa-clarita-ca/,JSON-LD $[1].@graph[2].itemListElement[1].name,Custom Blinds in Santa Clarita,Custom Blinds in Ventura County,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML title,Custom Drapery & Curtains near Santa Clarita CA - 805 Shutters,Custom Drapery & Curtains near Ventura County - 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML p,Santa Clarita service area,Ventura County service area,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML h1,Custom Drapery and Curtains in Santa Clarita,Custom Drapery and Curtains in Ventura County,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML p,"805 Shutters helps Santa Clarita homeowners and businesses compare custom drapery options for privacy, light control, room style, and budget.","805 Shutters helps Ventura County homeowners and businesses compare custom drapery options for privacy, light control, room style, and budget.",Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML h2,Custom drapery for Santa Clarita spaces,Custom drapery for Ventura County spaces,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML p,"For Santa Clarita projects, 805 Shutters reviews how each room is used before recommending drapery. Bedrooms may need more privacy or room darkening, living areas may need glare control without losing natural light, and sliding doors or large windows may need products that stay easy to operate every day.","For Ventura County projects, 805 Shutters reviews how each room is used before recommending drapery. Bedrooms may need more privacy or room darkening, living areas may need glare control without losing natural light, and sliding doors or large windows may need products that stay easy to operate every day.",Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML p,"805 Shutters helps Santa Clarita customers compare quality materials, colors, controls, privacy levels, light control, maintenance needs, and installation details before choosing custom drapery.","805 Shutters helps Ventura County customers compare quality materials, colors, controls, privacy levels, light control, maintenance needs, and installation details before choosing custom drapery.",Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML h2,North Los Angeles County and Santa Clarita installation support,Ventura County installation support,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML p,"805 Shutters serves Santa Clarita and nearby North Los Angeles County and Santa Clarita communities with measuring, product guidance, ordering, and professional installation. The goal is to help you understand cost, timing, materials, controls, and long-term maintenance before the project moves forward.","805 Shutters serves Ventura County and the approved service areas with measuring, product guidance, ordering, and professional installation. The goal is to help you understand cost, timing, materials, controls, and long-term maintenance before the project moves forward.",Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,HTML span,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,JSON-LD $[1].@graph[0].name,Custom Drapery & Curtains near Santa Clarita CA - 805 Shutters,Custom Drapery & Curtains near Ventura County - 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,JSON-LD $[1].@graph[0].description,"Custom Drapery and Curtains in Santa Clarita measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.","Custom Drapery and Curtains in Ventura County measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.",Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,JSON-LD $[1].@graph[0].primaryImageOfPage.caption,Custom Drapery and Curtains in Santa Clarita by 805 Shutters,Custom Drapery and Curtains in Ventura County by 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,JSON-LD $[1].@graph[1].name,Custom Drapery and Curtains in Santa Clarita,Custom Drapery and Curtains in Ventura County,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,JSON-LD $[1].@graph[1].description,"Custom Drapery and Curtains in Santa Clarita measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.","Custom Drapery and Curtains in Ventura County measured and installed by 805 Shutters. Compare privacy, light control, colors, materials, controls, and local installation.",Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,JSON-LD $[1].@graph[1].image.caption,Custom Drapery and Curtains in Santa Clarita by 805 Shutters,Custom Drapery and Curtains in Ventura County by 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,JSON-LD $[1].@graph[1].serviceType,Santa Clarita service area,Ventura County service area,Proposal only; unchanged
https://www.805shutters.com/drapery/santa-clarita-ca/,JSON-LD $[1].@graph[2].itemListElement[1].name,Custom Drapery and Curtains in Santa Clarita,Custom Drapery and Curtains in Ventura County,Proposal only; unchanged
https://www.805shutters.com/window-coverings/santa-clarita-ca/,HTML title,Window Coverings near Santa Clarita CA - 805 Shutters,Window Coverings near Ventura County - 805 Shutters,Proposal only; unchanged
https://www.805shutters.com/window-coverings/santa-clarita-ca/,HTML p,Santa Clarita service area,Ventura County service area,Proposal only; unchanged
https://www.805shutters.com/window-coverings/santa-clarita-ca/,HTML h1,Window Coverings in Santa Clarita,Window Coverings in Ventura County,Proposal only; unchanged
https://www.805shutters.com/window-coverings/santa-clarita-ca/,HTML p,"805 Shutters helps Santa Clarita homeowners and businesses compare custom window coverings options for privacy, light control, room style, and budget.","805 Shutters helps Ventura County homeowners and businesses compare custom window coverings options for privacy, light control, room style, and budget.",Proposal only; unchanged
