"product_id","module_patterns","dynamic_scope","saved_record","source_pages","pricing_status","production_proof","remaining_classification"
"synchrony_vertical","norman-synchrony|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Source color ordering codes; hardware color; stack/draw/control compatibility; wand drop; shim count; mount depth; side-by-side position","options_json.vertical_* and mount_depth_inches; norman_assembly_v1 hardware","Vertical Blinds Guide pp4–12 and source rows; see module-source-index exact branch citations","Normal source retail priced; cost factor applicability unresolved","805-0313 total386; RESULTS.md","No new missing source-backed control confirmed. External: account .30 observed vs CRM .33; freight/processing. No factor substituted."
"palladian_shelf","norman-family-rules.ts|norman-assemblies.ts|rules.ts","Ordered vs custom shelf width; depth increments; supported weight; current coded finish; accompanying product/line selection; grouped quantity and deductions","options_json.shelf_*; accompanying_product_id/line ID; server linked shelf assembly","Palladian Guide pp5–8; Retail p37","With-product schedule supported; standalone authoritative freight held","805-0312 linked;0314 standalone qty2 depth2.125 weight20; RESULTS.md","External: standalone freight and account factor. Control/linked server calculations implemented; exported fields miss numeric dimensions and order link."
"wood_blinds","norman-wood|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Measured mount/depth/fit; source-date wand; valance/custom returns/width; keystone1–3 positions; side support/shims/hold-downs; measured left/right cut-outs; common and matching groups","options_json.wood_*; wood_common_valance_v1; wood_matching_v1; hardware record","Ultimate Wood Guide pp6–20, matching18/common17/cutout19–20; dealer valance portal evidence2026-09-19","Supported standard/validated valances priced; short-wand running-change and ambiguous depths/grid held","805-0325 pair1653/custom835.50;0341 total609.90 restored17.75 wand; RESULTS.md","Standalone valance listing not confirmed from this guide extraction; do not promote it as a new source-backed offering. Potential stale cutout_common family guard if legacy application label common remains set despite complete typed group; source19 permits outer only and assemblies already validate this. External:1.375vs1.625minimumdepth, short wand running change, final grid."
"norman_shutters","norman-shutter-|NormanShutter|NormanBifold|norman-family-rules.ts|norman-assemblies.ts|rules.ts","All six program-specific finish/frame/louver/hinge/tilt choices; frame sides/mount/measurement geometry; atomic panel height/divider/application/motor record; BiFold180 stack/layout/panel widths/mount surface; typed casing/header/fascia/baseboard/buildout/pivot/light-block","options_json shutter construction; norman_shutter_panels_v1 with bifold180; nested construction geometry records; authoritative derived snapshots","Six program binders; regular frame and panel pages per modules; BiFold180 j1 pp2–5; Aqua Open Bypass p93; module-source-index preserves per-program pages","All six price held: account rates/surcharges not approved; unsupported shape/track branches also held","805-0326 all six atomic save/full reload; BiFold180 latest code atce375e05 needs own final live proof pointer","Implementation/source audit: full specialty shapes, remaining track types and divider location geometry not implemented exhaustively. Do not call all unknown evidence: binder geometry can support further scoped implementations. Account rates remain external."
"norman_roman_fabric_by_yard","norman-roman-ancillary|NormanRomanAncillary","Exact source fabric, explicit decimal yards per cut, natural-unit quantity1; no fake opening size","norman_roman_ancillary_v1 {version,kind:yardage,colorCode,yards}; derived retail reference/unit","Roman Guide pp34,46,50; Retail September absolute26–27","All price approval/availability/freight held; group2 September rate missing; fractional increments saved and held","805-0340 ScarlettF1599 explicit2.5yards persists; RESULTS.md/ancillary production proof","External: fractional increments, currentavailability/freight/priceapproval, group2yardrate. Max10yards validated. No additional input gap confirmed."
"norman_roman_pillow_covers","norman-roman-ancillary|NormanRomanAncillary","11 source sizes; knife/piping15%; eligible fabric filtering; quote quantity counts covers; no insert or shade dimensions","norman_roman_ancillary_v1 {version,kind:pillow_cover,colorCode,size,edge}; derived retail reference","Roman Guide pp34,46,50; September Retail absolute26–27","All price approval/availability/freight held; retailreference is not approved sellingprice","805-0340 AlmaF1621 20x20piping qty3 reference123.05 each; RESULTS.md","External: source warns confirmation before order; currentavailability/accountcost/freight. Typed units implemented."
"norman_smartdrape_replacement_vanes","norman-smartdrape-replacement|NormanSmartdrapeReplacement","Original work order; styleA/B; original single/side-by-side and stack; one/alternate color codes; original vane count; exact vane length; quantity packs of6","smartdrape_replacement_request_v1 typed record and derived pack reference; exact key in typed-records/source module","PS-SD Guide p24; conflicting September retail replacement schedule","Entire destination held; no source rate invented","805-0339B naturalpack persistence/customer output blocked; parent Lotus evidence","External: contradictory retail/guideprice,currentwork-orderavailability/freight. All required source inputs selectable and server validated."
"san_clemente_honeycomb","norman-san-clemente|SanClemente","Exact9/16fabric/program,Cordless/TDBU; mount fit/depth;36/60pole and attachment count0–2,total<=2","options_json.san_clemente_*; mount_depth_inches; installation_method; source identity","San Clemente November2025 Guide pp4–8","All current prices manual_required; distinct catalog destination, no Portrait/Ultimate price reuse","805-0312 all selections saved/reopened; RESULTS.md","External: current base/accessory price schedules and account applicability. No missing input confirmed."
"san_clemente_faux_wood","norman-san-clemente|SanClemente","Exact2inch embossed colors; fixedCordless/left/standardvalance; mountfit/depth; top/back/sideonly/side+top method","options_json.san_clemente_*; mount_depth_inches; installation_method; source identity","San Clemente November2025 Guide pp9–13","All current prices manual_required; distinct catalog destination, no Portrait/Ultimate price reuse","805-0312 all selections saved/reopened; RESULTS.md","External: current base/accessory price schedules and account applicability. Review semi-inside numeric depth source: current validator only checks flush-side explicit depth; exact source needs source review before claiming missing guard."
"norman_contract_faux_wood","norman-contract|NormanContract","Exactfinish/slat/fixedcordless; mountfit/depth;wandside/drop;valance/customwidth/returns;hold-down/spacer","options_json.contract_*; mount_depth_inches; server contract order record","ContractFaux EditionM May2024 pp5,8–10,15","All current prices manual_required; project quotation required","805-0312 all selections saved/reopened; RESULTS.md","External: current project base/options/freight; No additional missing source-backed control confirmed."
"norman_contract_vertical","norman-contract|NormanContract","Project vertical order total>=50; mountfit/depth; wand side/drop; headrailfinish;shimlayers","options_json.contract_*; mount_depth_inches; server contract order record","ContractVertical EditionB Nov2024 pp4,6,8–10; ContractRequestp1","All current prices manual_required; project quotation required","805-0312 all selections saved/reopened; RESULTS.md","External: current project base/options/freight; FullyInside table.75vsdrawing3.75depth conflict."
