destination,source_product_id,source_color_id,code,color_name,finish,source_page,source_note,pricing_status,new_color_identity
norman_smartprivacy_valance_only,smartprivacy_faux,smartprivacy_faux:color:solid-smooth:p006:pearl:180,P006,Pearl,Solid - Smooth,SmartPrivacy FW Blinds Guide.pdf#page=6,"SmartPrivacy dealer guide October 2024 revision, downloaded September 17, 2026; exact color/finish and factory coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-embossed:p006:pearl:181,P006,Pearl,Solid - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-embossed:p003:silk-white:183,P003,Silk White,Solid - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-smooth:p004:bright-white:185,P004,Bright White,Solid - Smooth,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-embossed:p004:bright-white:187,P004,Bright White,Solid - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:printed-embossed:6957:mist:189,6957,Mist,Printed - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_smartprivacy_valance_only,smartprivacy_faux,smartprivacy_faux:color:printed-embossed:6957:mist:190,6957,Mist,Printed - Embossed,SmartPrivacy FW Blinds Guide.pdf#page=6,"SmartPrivacy dealer guide October 2024 revision, downloaded September 17, 2026; exact color/finish and factory coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-smooth:p075:storm-gray:191,P075,Storm Gray,Solid - Smooth,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-embossed:p075:storm-gray:193,P075,Storm Gray,Solid - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:printed-embossed:6959:granite:195,6959,Granite,Printed - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:printed-embossed:p226:chestnut:197,P226,Chestnut,Printed - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:printed-embossed:p230:old-teak:199,P230,Old Teak,Printed - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
