product,program,price_group,rule_status,grid_rows,matched_rows,source,status,exception
palladian_shelf,palladian_shelf_palladian_shelf_without_product,,restriction_source_incomplete,1,1,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"September guide rules now normalized, including 42 coded finishes, minimum width, depth increments, support weight, paired-product eligibility, quantity and default/custom deductions. Linked-product persistence passed in production. Both retail schedules are source-backed; the dealer standalone comparison found a factor mismatch, account applicability is pending and standalone authoritative save still requires a resolved freight schedule."
perfectsheer,perfectsheer_perfectsheer_shades_light_filtering,,restriction_source_incomplete,14,14,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Wood-bracket assignment, four/five-keystone source conflict, common-valance Light Guard price scope, Automate extra-kit identity and cross-product shared accessories; current dealer comparison. All 31 source fabrics, motor tubes, hardware, custom/common valances and side-by-side choices now have implemented rules and production persistence evidence."
roller,roller_cordless_fabric_price_group_1_pg1,1,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_fabric_price_group_2_pg2,2,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_fabric_price_group_3_pg3,3,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_solar_screen_price_group_1_pg1,1,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_solar_screen_price_group_2_pg2,2,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_solar_screen_price_group_3_pg3,3,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_fabric_price_group_4_pg4,4,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_fabric_price_group_1_pg1_fall_2026,1,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_fabric_price_group_2_pg2_fall_2026,2,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_fabric_price_group_3_pg3_fall_2026,3,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roller,roller_cordless_fabric_price_group_4_pg4_fall_2026,4,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Hardware/shim quantities, common-valance measured records and Automate shared panels are deployed. Actual-backend tests cover charge ownership, quantity/coupled/dual motor counts and panel capacity. Production comparison remains in progress. Shared common-valance retail allocation, material splice evidence and current dealer comparisons remain unresolved."
roman,roman_cordless_usa_price_group_1_pg1,1,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Common-valance motors, shared-panel capacity/one charge, mixed 65W adapters, rechargeable accessories, custom chains, magnets/shims, 396 rear fabric routes, F1085/F0255 group 2 and total-line pole charges are deployed with representative production save/reopen/customer-preview proof (805-0327–0331). Caroline F1090 three-style pricing, mounting depths, valance returns, banding and 14 reverse-pattern colors are deployed. Quotes F/G prove style/valance prices and persistence. All201September front colors and396rear colors pass backend routing; Taylor F0210 is confirmed discontinued September 1, 2026 by the Roman Guide revision table on page 2. Connected matching and finished-size/headrail-area corrections are deployed. All A–H totals were repriced and verified after full reload with customer previews. Native design-copy now preserves existing design IDs and snapshots; production save/reopen passed. Standalone fabric/pillow destinations are deployed in 1acd1e85; 805-0340 passed natural-unit save/full reload/reopen and blocked-customer-output proof; full dealer comparison and account costs remain."
roman,roman_cordless_usa_price_group_2_pg2,2,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Common-valance motors, shared-panel capacity/one charge, mixed 65W adapters, rechargeable accessories, custom chains, magnets/shims, 396 rear fabric routes, F1085/F0255 group 2 and total-line pole charges are deployed with representative production save/reopen/customer-preview proof (805-0327–0331). Caroline F1090 three-style pricing, mounting depths, valance returns, banding and 14 reverse-pattern colors are deployed. Quotes F/G prove style/valance prices and persistence. All201September front colors and396rear colors pass backend routing; Taylor F0210 is confirmed discontinued September 1, 2026 by the Roman Guide revision table on page 2. Connected matching and finished-size/headrail-area corrections are deployed. All A–H totals were repriced and verified after full reload with customer previews. Native design-copy now preserves existing design IDs and snapshots; production save/reopen passed. Standalone fabric/pillow destinations are deployed in 1acd1e85; 805-0340 passed natural-unit save/full reload/reopen and blocked-customer-output proof; full dealer comparison and account costs remain."
roman,roman_cordless_usa_price_group_3_pg3,3,documented_limited,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Common-valance motors, shared-panel capacity/one charge, mixed 65W adapters, rechargeable accessories, custom chains, magnets/shims, 396 rear fabric routes, F1085/F0255 group 2 and total-line pole charges are deployed with representative production save/reopen/customer-preview proof (805-0327–0331). Caroline F1090 three-style pricing, mounting depths, valance returns, banding and 14 reverse-pattern colors are deployed. Quotes F/G prove style/valance prices and persistence. All201September front colors and396rear colors pass backend routing; Taylor F0210 is confirmed discontinued September 1, 2026 by the Roman Guide revision table on page 2. Connected matching and finished-size/headrail-area corrections are deployed. All A–H totals were repriced and verified after full reload with customer previews. Native design-copy now preserves existing design IDs and snapshots; production save/reopen passed. Standalone fabric/pillow destinations are deployed in 1acd1e85; 805-0340 passed natural-unit save/full reload/reopen and blocked-customer-output proof; full dealer comparison and account costs remain."
roman,roman_fabric_valance_surcharge,,documented_limited,1,1,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Common-valance motors, shared-panel capacity/one charge, mixed 65W adapters, rechargeable accessories, custom chains, magnets/shims, 396 rear fabric routes, F1085/F0255 group 2 and total-line pole charges are deployed with representative production save/reopen/customer-preview proof (805-0327–0331). Caroline F1090 three-style pricing, mounting depths, valance returns, banding and 14 reverse-pattern colors are deployed. Quotes F/G prove style/valance prices and persistence. All201September front colors and396rear colors pass backend routing; Taylor F0210 is confirmed discontinued September 1, 2026 by the Roman Guide revision table on page 2. Connected matching and finished-size/headrail-area corrections are deployed. All A–H totals were repriced and verified after full reload with customer previews. Native design-copy now preserves existing design IDs and snapshots; production save/reopen passed. Standalone fabric/pillow destinations are deployed in 1acd1e85; 805-0340 passed natural-unit save/full reload/reopen and blocked-customer-output proof; full dealer comparison and account costs remain."
smartdrape,smartdrape_smartdrape_lakeshore_stripe,,restriction_source_incomplete,8,8,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,Source gaps: motorized center-opening brackets over 94¼ through 94½ inches; motor pocket depths above 8⅞ and below 9 inches; exact 30-inch center-opening gap; blank factory aliases F2128–F2130; conflicting standalone replacement-vane pricing. Cross-family accessories and dealer reconciliation remain. Production motor and 190-inch track/mounting/pack persistence passed.
smartdrape,smartdrape_smartdrape_light_filtering,,restriction_source_incomplete,8,8,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,Source gaps: motorized center-opening brackets over 94¼ through 94½ inches; motor pocket depths above 8⅞ and below 9 inches; exact 30-inch center-opening gap; blank factory aliases F2128–F2130; conflicting standalone replacement-vane pricing. Cross-family accessories and dealer reconciliation remain. Production motor and 190-inch track/mounting/pack persistence passed.
smartfold,smartfold_smartfold_shades,,restriction_source_incomplete,6,6,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Mounting-diameter lookup, custom-valance bracket-count source conflicts, remaining order-wide accessories and current dealer comparison. Measured At Gaps geometry is deployed with0348 saved-server negative checks and reopen proof; bounded outside rechargeable pricing passed0342 at$5,023 with once-only accessories and rejected mounting boundaries. Common/custom valance, chains, full-fold and side-by-side choices passed production persistence."
smartfold,smartfold_fascia_wood_valance,,restriction_source_incomplete,1,1,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Mounting-diameter lookup, custom-valance bracket-count source conflicts, remaining order-wide accessories and current dealer comparison. Measured At Gaps geometry is deployed with0348 saved-server negative checks and reopen proof; bounded outside rechargeable pricing passed0342 at$5,023 with once-only accessories and rejected mounting boundaries. Common/custom valance, chains, full-fold and side-by-side choices passed production persistence."
smartfold,smartfold_3_1_2in_4_1_2in_and_6in_fabric_valance,,restriction_source_incomplete,1,1,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Mounting-diameter lookup, custom-valance bracket-count source conflicts, remaining order-wide accessories and current dealer comparison. Measured At Gaps geometry is deployed with0348 saved-server negative checks and reopen proof; bounded outside rechargeable pricing passed0342 at$5,023 with once-only accessories and rejected mounting boundaries. Common/custom valance, chains, full-fold and side-by-side choices passed production persistence."
smartfold,smartfold_8in_fabric_valance,,restriction_source_incomplete,1,1,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Mounting-diameter lookup, custom-valance bracket-count source conflicts, remaining order-wide accessories and current dealer comparison. Measured At Gaps geometry is deployed with0348 saved-server negative checks and reopen proof; bounded outside rechargeable pricing passed0342 at$5,023 with once-only accessories and rejected mounting boundaries. Common/custom valance, chains, full-fold and side-by-side choices passed production persistence."
smartprivacy_faux,smartprivacy_faux_2in_and_2_1_2in_slats_cordless,,documented_limited,12,12,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Six documented finish identities and both slat sizes reconciled; ten unsupported inherited swatches retained for history. Mounting, wand, valance and per-blind hardware/price rules implemented; deployed with representative $283.86 production save/reopen/customer-preview proof. Final inside-width grid boundary, standalone valance destination/pricing and current dealer comparison remain."
synchrony_vertical,synchrony_vertical_synchrony_vertical_blind_price_group_1_pg1,1,complete,6,6,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,All 46 current dealer colors and exact ordering codes reconciled. Representative dealer comparison found a cost-factor mismatch; account applicability remains pending. Production save/reopen and customer output passed.
synchrony_vertical,synchrony_vertical_synchrony_vertical_blind_price_group_2_pg2,2,complete,6,6,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,All 46 current dealer colors and exact ordering codes reconciled. Representative dealer comparison found a cost-factor mismatch; account applicability remains pending. Production save/reopen and customer output passed.
synchrony_vertical,synchrony_vertical_synchrony_vertical_blind_price_group_3_pg3,3,complete,6,6,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,All 46 current dealer colors and exact ordering codes reconciled. Representative dealer comparison found a cost-factor mismatch; account applicability remains pending. Production save/reopen and customer output passed.
synchrony_vertical,synchrony_vertical_synchrony_vertical_blind_price_group_4_pg4,4,complete,6,6,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,All 46 current dealer colors and exact ordering codes reconciled. Representative dealer comparison found a cost-factor mismatch; account applicability remains pending. Production save/reopen and customer output passed.
vertical_honeycomb,vertical_honeycomb_3_4in_single_and_1_1_4in_single_vertical,,manual_quote_required,13,13,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Correct vertical grid routing, mounting/bracket/shim counts and stack configuration are deployed. Production 36 × 60 C7015K/Left Stack/two shim layers retained the $950 total. Complete source/configuration coverage and dealer comparison remain; this is representative verification."
vertical_honeycomb,vertical_honeycomb_flame_resistant_fabrics_3_4in_single_only,,manual_quote_required,11,11,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Correct vertical grid routing, mounting/bracket/shim counts and stack configuration are deployed. Production 36 × 60 C7015K/Left Stack/two shim layers retained the $950 total. Complete source/configuration coverage and dealer comparison remain; this is representative verification."
wood_blinds,wood_blinds_2in_and_2_1_2in_slats,,restriction_source_incomplete,12,12,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"All 26 current colors/both slat sizes, hardware, mounting, cutouts, keystones and common/matching records deployed. Custom 40-inch valance saved/reopened at $835.50; two 36-inch blinds with a 73-inch common valance and two keystones saved/reopened at $1,653, matching customer output. Dealer custom/common width and multiple-keystone charges reconcile. Short-wand running change, mounting-depth source conflict, final inside-width grid boundary and standalone valances remain."
norman_shutters,woodlore,,restriction_source_incomplete,0,0,provisional imported shutter rates,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,woodlore_plus,,restriction_source_incomplete,0,0,provisional imported shutter rates,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,woodlore_aquashield,,restriction_source_incomplete,0,0,provisional imported shutter rates,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,brightwood,,restriction_source_incomplete,0,0,provisional imported shutter rates,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,normandy_painted,,restriction_source_incomplete,0,0,provisional imported shutter rates,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_shutters,normandy_stained,,restriction_source_incomplete,0,0,provisional imported shutter rates,UNRESOLVED EXCEPTION,"Six existing programs and 126 finish routes are deployed with product-specific louvers, hinges and tilt validation. Six dealer baseline rates captured; five imported costs conflict and account applicability is pending. Production six-program quote 805-0326 passed save/close/full reload/reopen; every selected field persisted. Contract output correctly remains blocked. Full frame/panel/shape/track constraints and surcharge schedule remain unresolved."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,,manual_quote_required,0,0,norman-roman-guide-2026-09,UNRESOLVED EXCEPTION,"All201 front fabric identities reach a natural-unit destination. Guide-eligible choices selectable; manufacturer price approval, availability and freight unresolved. Internal0340 natural-unit persistence and held-output verified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,,manual_quote_required,0,0,norman-roman-guide-2026-09,UNRESOLVED EXCEPTION,"157 guide-eligible pillow fabrics reach a natural-unit destination. Exact size/piping saved in0340. Dealer price approval, availability and freight unresolved."
norman_smartdrape_replacement_vanes,norman_smartdrape_replacement_vanes_source,,manual_quote_required,0,0,norman-perfectsheer-smartdrape-guide-2026-09,UNRESOLVED EXCEPTION,"Standalone six-vane packs StyleA/B have typed original work order, finished length, arrangement and fabric choices.0339B save/reopen and missing-work-order rejection verified. Guide versus retail standalone-price conflict, availability and freight unresolved."
san_clemente_honeycomb,san_clemente_hg006,,manual_quote_required,0,0,norman-san-clemente-guide-2025-11-19,UNRESOLVED EXCEPTION,"Current base, TDBU and pole/attachment price schedules and dealer-account applicability. Production selection save/reopen passed."
san_clemente_honeycomb,san_clemente_hg006bo,,manual_quote_required,0,0,norman-san-clemente-guide-2025-11-19,UNRESOLVED EXCEPTION,"Current base, TDBU and pole/attachment price schedules and dealer-account applicability. Production selection save/reopen passed."
san_clemente_faux_wood,san_clemente_b5w20,,manual_quote_required,0,0,norman-san-clemente-guide-2025-11-19,UNRESOLVED EXCEPTION,Current base and optional side-bracket price schedules and dealer-account applicability. Production selection save/reopen passed.
norman_contract_faux_wood,norman_contract_faux_2,,manual_quote_required,0,0,norman-contract-faux-2024-05-29,UNRESOLVED EXCEPTION,"Current project base, valance, hardware and freight quote; dealer applicability. Production selection save/reopen passed."
norman_contract_faux_wood,norman_contract_faux_2_5,,manual_quote_required,0,0,norman-contract-faux-2024-05-29,UNRESOLVED EXCEPTION,"Current project base, valance, hardware and freight quote; dealer applicability. Production selection save/reopen passed."
norman_contract_vertical,norman_contract_vertical_3_5,,manual_quote_required,0,0,norman-contract-vertical-2024-11-01,UNRESOLVED EXCEPTION,Current project rates and optional charges; fully-inside depth source conflict (table ¾ versus drawing 3¾ inches); dealer applicability. Production selection save/reopen passed.
