width,height,color,customSkus,documentedExactBoundaryDonors,dealerMerchandiseCost,customerBaseRetail,sourceEffectiveDate,source,result,liveStatus,exception
23.0,48,White,CAMX2348W,AMX2348WH,22.67,68.01,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
23.0,48,Alabaster,CAMX2348A,AMX2348AL,22.67,68.01,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
27.0,48,White,CAMX2748W,AMX2748WH,25.4,76.2,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
27.0,48,Alabaster,CAMX2748A,AMX2748AL,25.4,76.2,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
30.0,48,White,CAMX3048W,AMX3048WH,24.3,72.9,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
30.0,48,Alabaster,CAMX3048A,AMX3048AL,24.3,72.9,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
35.0,48,White,CAMX3548W,AMX3548WH,27.18,81.54,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
35.0,48,Alabaster,CAMX3548A,AMX3548AL,27.18,81.54,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
39.0,48,White,CAMX3948W,AMX3948WH,29.49,88.47,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
39.0,48,Alabaster,CAMX3948A,AMX3948AL,29.49,88.47,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
43.0,48,White,CAMX4348W,AMX4348WH,31.79,95.37,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
43.0,48,Alabaster,CAMX4348A,AMX4348AL,31.79,95.37,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
48.0,48,White,CAMX4848W,AMX4848WH,34.67,104.01,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
48.0,48,Alabaster,CAMX4848A,AMX4848AL,34.67,104.01,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
54.0,48,White,CAMX5448W,AMX5448WH,38.13,114.39,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
54.0,48,Alabaster,CAMX5448A,AMX5448AL,38.13,114.39,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
59.0,48,White,CAMX5948W,AMX5948WH,41.02,123.06,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
59.0,48,Alabaster,CAMX5948A,AMX5948AL,41.02,123.06,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
63.0,48,White,CAMX6348W,AMX6348WH,43.32,129.96,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
63.0,48,Alabaster,CAMX6348A,AMX6348AL,43.32,129.96,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
69.0,48,White,CAMX6948W,AMX6948WH,46.78,140.34,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
69.0,48,Alabaster,CAMX6948A,AMX6948AL,46.78,140.34,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
72.0,48,White,CAMX7248W,AMX7248WH,48.51,145.53,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
72.0,48,Alabaster,CAMX7248A,AMX7248AL,48.51,145.53,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
78.0,48,White,CAMX7848W,AMX7848WH,100.6,301.8,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
78.0,48,Alabaster,,AMX7848AL,100.6,301.8,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
82.5,48,White,CAMX82548W,,106.54,319.62,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",exact_boundary_stock_donor_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
82.5,48,Alabaster,CAMX82548A,,106.54,319.62,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",exact_boundary_stock_donor_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
89.0,48,White,CAMX8948W,AMX8948WH,113.68,341.04,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
89.0,48,Alabaster,CAMX8948A,AMX8948AL,113.68,341.04,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
95.0,48,White,CAMX9548W,AMX9548WH,120.79,362.37,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
95.0,48,Alabaster,CAMX9548A,AMX9548AL,120.79,362.37,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
17.0,60,White,CAMX1760W,AMX1760WH,21.48,64.44,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
17.0,60,Alabaster,,,21.48,64.44,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
23.0,60,White,CAMX2360W,AMX2360WH,26.6,79.8,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
23.0,60,Alabaster,CAMX2360A,AMX2360AL,26.6,79.8,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
27.0,60,White,CAMX2760W,AMX2760WH,23.08,69.24,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
27.0,60,Alabaster,CAMX2760A,AMX2760AL,23.08,69.24,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
30.0,60,White,CAMX3060W,AMX3060WH,24.87,74.61,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
30.0,60,Alabaster,CAMX3060A,AMX3060AL,24.87,74.61,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
35.0,60,White,CAMX3560W,AMX3560WH,27.84,83.52,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
35.0,60,Alabaster,CAMX3560A,AMX3560AL,27.84,83.52,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
39.0,60,White,CAMX3960W,AMX3960WH,30.23,90.69,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
39.0,60,Alabaster,CAMX3960A,AMX3960AL,30.23,90.69,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
43.0,60,White,CAMX4360W,AMX4360WH,32.6,97.8,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
43.0,60,Alabaster,CAMX4360A,AMX4360AL,32.6,97.8,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
48.0,60,White,CAMX4860W,AMX4860WH,35.58,106.74,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
48.0,60,Alabaster,CAMX4860A,AMX4860AL,35.58,106.74,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
54.0,60,White,CAMX5460W,AMX5460WH,39.16,117.48,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
54.0,60,Alabaster,CAMX5460A,AMX5460AL,39.16,117.48,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
59.0,60,White,CAMX5960W,AMX5960WH,42.13,126.39,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
59.0,60,Alabaster,CAMX5960A,AMX5960AL,42.13,126.39,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
63.0,60,White,CAMX6360W,AMX6360WH,44.51,133.53,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
63.0,60,Alabaster,CAMX6360A,AMX6360AL,44.51,133.53,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
69.0,60,White,CAMX6960W,AMX6960WH,48.09,144.27,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
69.0,60,Alabaster,CAMX6960A,AMX6960AL,48.09,144.27,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
72.0,60,White,CAMX7260W,AMX7260WH,49.87,149.61,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
72.0,60,Alabaster,CAMX7260A,AMX7260AL,49.87,149.61,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
78.0,60,White,CAMX7860W,AMX7860WH,107.24,321.72,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
78.0,60,Alabaster,,AMX7860AL,107.24,321.72,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
82.5,60,White,CAMX82560W,AMX82560WH,112.97,338.91,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
82.5,60,Alabaster,CAMX82560A,AMX82560AL,112.97,338.91,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
89.0,60,White,CAMX8960W,AMX8960WH,121.22,363.66,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
89.0,60,Alabaster,CAMX8960A,AMX8960AL,121.22,363.66,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
95.0,60,White,CAMX9560W,AMX9560WH,128.86,386.58,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
95.0,60,Alabaster,CAMX9560A,AMX9560AL,128.86,386.58,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
17.0,64,White,CAMX1764W,,24.37,73.11,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",exact_boundary_stock_donor_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
17.0,64,Alabaster,,,24.37,73.11,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
23.0,64,White,CAMX2364W,,21.61,64.83,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",exact_boundary_stock_donor_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
